,Countries,Total Cases,Todays Cases,Total Deaths
1,China,"81,285",+67,"3,287"
2,Italy,"74,386",,"7,503"
3,USA,"68,594",+383,"1,036"
4,Spain,"56,188","+6,673","4,089"
5,Germany,"39,502","+2,179",222
6,Iran,"29,406","+2,389","2,234"
7,France,"25,233",,"1,331"
8,Switzerland,"11,478",+581,169
9,UK,"9,529",,465
10,S. Korea,"9,241",+104,131
11,Netherlands,"6,412",,356
12,Belgium,"6,235","+1,298",220
13,Austria,"6,001",+413,42
14,Portugal,"3,544",+549,60
15,Canada,"3,409",,36
16,Norway,"3,217",+133,14
17,Australia,"2,799",+123,13
18,Brazil,"2,563",+9,60
19,Sweden,"2,554",+28,64
20,Israel,"2,495",+126,8
21,Turkey,"2,433",,59
22,Malaysia,"2,031",+235,23
23,Denmark,"1,851",+127,34
24,Czechia,"1,775",+121,6
25,Ireland,"1,564",,9
26,Luxembourg,"1,333",,8
27,Japan,"1,307",,45
28,Ecuador,"1,211",,29
29,Chile,"1,142",,3
30,Pakistan,"1,123",+60,8
31,Poland,"1,085",+34,14
32,Thailand,"1,045",+111,4
33,Romania,"1,029",+123,17
34,Finland,926,+46,5
35,Saudi Arabia,900,,2
36,Indonesia,893,+103,78
37,Russia,840,+182,3
38,Greece,821,,23
39,Iceland,737,,2
40,Diamond Princess,712,,10
41,South Africa,709,,
42,Philippines,707,+71,45
43,India,695,+38,14
44,Singapore,631,,2
45,Panama,558,,8
46,Estonia,538,+134,1
47,Qatar,537,,
48,Slovenia,528,,5
49,Argentina,502,,8
50,Croatia,481,+39,2
51,Peru,480,,9
52,Mexico,475,+70,6
53,Colombia,470,,4
54,Bahrain,457,+38,4
55,Egypt,456,,21
56,Hong Kong,453,+42,4
57,Dominican Republic,392,,10
58,Serbia,384,,6
59,Iraq,382,+36,36
60,Lebanon,368,+35,6
61,UAE,333,,2
62,Algeria,302,,21
63,Lithuania,290,+16,4
64,Armenia,290,+25,
65,New Zealand,283,,
66,Hungary,261,+35,10
67,Taiwan,252,+17,2
68,Latvia,244,+23,
69,Bulgaria,243,+1,3
70,Slovakia,226,+10,
71,Morocco,225,,6
72,Uruguay,217,,
73,San Marino,208,,21
74,Kuwait,208,+13,
75,Costa Rica,201,,2
76,Andorra,188,,1
77,Bosnia and Herzegovina,185,+9,3
78,North Macedonia,177,,3
79,Albania,174,+28,6
80,Tunisia,173,,6
81,Jordan,172,,
82,Ukraine,162,+17,5
83,Vietnam,153,+5,
84,Moldova,149,,1
85,Burkina Faso,146,,4
86,Faeroe Islands,140,+8,
87,Ghana,132,+64,4
88,Cyprus,132,,3
89,Malta,129,,
90,Azerbaijan,122,+29,3
91,Réunion,115,+4,
92,Brunei ,114,+5,
93,Kazakhstan,109,+28,
94,Oman,109,+10,
95,Venezuela,106,,
96,Senegal,105,+6,
97,Sri Lanka,102,,
98,Cambodia,96,,
99,Belarus,86,,
100,Afghanistan,84,,2
101,Palestine,84,+13,1
102,Ivory Coast,80,,
103,Georgia,77,+2,
104,Cameroon,75,,1
105,Guadeloupe,73,,1
106,Montenegro,67,+14,1
107,Martinique,66,,1
108,Uzbekistan,65,+5,
109,Trinidad and Tobago,60,,1
110,Cuba,57,,1
111,Mauritius,52,+4,2
112,Honduras,52,,
113,DRC,51,+3,3
114,Nigeria,51,,1
115,Liechtenstein,51,,
116,Channel Islands,46,,1
117,Bangladesh,44,+5,5
118,Kyrgyzstan,44,,
119,Paraguay,41,+4,3
120,Rwanda,41,,
121,Bolivia,39,+7,
122,Mayotte,36,,
123,Macao,31,,
124,Monaco,31,,
125,French Guiana,28,,
126,Kenya,28,,
127,Jamaica,26,,1
128,Gibraltar,26,,
129,French Polynesia,25,,
130,Isle of Man,25,+2,
131,Guatemala,24,,1
132,Togo,23,,
133,Aruba,19,,
134,Madagascar,19,,
135,Barbados,18,,
136,New Caledonia,14,,
137,Uganda,14,,
138,El Salvador,13,+4,
139,Maldives,13,,
140,Tanzania,13,,
141,Ethiopia,12,,
142,Zambia,12,,
143,Djibouti,11,,
144,Dominica,11,,
145,Mongolia,11,+1,
146,Saint Martin,11,,
147,Equatorial Guinea,9,,
148,Cayman Islands,8,,1
149,Haiti,8,,
150,Suriname,8,,
151,Gabon,7,+1,1
152,Niger,7,,1
153,Bermuda,7,,
154,Namibia,7,,
155,Seychelles,7,,
156,Curaçao,6,,1
157,Benin,6,,
158,Greenland,6,,
159,Laos,6,+3,
160,Guyana,5,,1
161,Bahamas,5,,
162,Fiji,5,,
163,Mozambique,5,,
164,Syria,5,,
165,Cabo Verde,4,,1
166,Congo,4,,
167,Eritrea,4,,
168,Guinea,4,,
169,Vatican City,4,,
170,Eswatini,4,,
171,Gambia,3,,1
172,Sudan,3,,1
173,Zimbabwe,3,,1
174,Nepal,3,,
175,Angola,3,,
176,Antigua and Barbuda,3,,
177,CAR,3,,
178,Chad,3,,
179,Liberia,3,,
180,Mauritania,3,+1,
181,Myanmar,3,,
182,St. Barth,3,,
183,Saint Lucia,3,,
184,Sint Maarten,3,,
185,Belize,2,,
186,Bhutan,2,,
187,British Virgin Islands,2,,
188,Guinea-Bissau,2,,
189,Mali,2,,
190,Nicaragua,2,,
191,Saint Kitts and Nevis,2,,
192,Somalia,2,+1,
193,Grenada,1,,
194,Libya,1,,
195,Montserrat,1,,
196,Papua New Guinea,1,,
197,St. Vincent Grenadines,1,,
198,Timor-Leste,1,,
199,Turks and Caicos,1,,
